Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data,None,,,,,
00000,"=""13:50:27.465""",0xB3F1068,ch1,Receive,0x0002,Data,Standard,0x00,x| ,Control Panel:    HOUR_METER_REQUEST,,,,,
00001,"=""13:50:27.465""",0xB3F1074,ch1,Receive,0x0082,Data,Standard,0x06,x| 03 01 00 32 C2 3B ,Kinetek:          HOUR_METER_RESPONSE,,,,,
00002,"=""13:50:27.465""",0xB3F1079,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00003,"=""13:50:27.465""",0xB3F107E,ch1,Receive,0x0082,Data,Standard,0x06,x| 03 02 00 00 8F 70 ,Kinetek:          HOUR_METER_RESPONSE,,,,,
00004,"=""13:50:27.465""",0xB3F1089,ch1,Receive,0x0082,Data,Standard,0x06,x| 03 03 00 00 1D 02 ,Kinetek:          HOUR_METER_RESPONSE,,,,,
00005,"=""13:50:27.465""",0xB3F10D8,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 84 ,Kinetek:          HEART_BEAT page: 03,,,,,
00006,"=""13:50:27.465""",0xB3F10E3,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00007,"=""13:50:27.465""",0xB3F10EC,ch1,Receive,0x03C9,Data,Standard,0x05,x| 00 30 61 1E 64 ,Kinetek:          BATTERY_INFO,,,,,
00008,"=""13:50:27.465""",0xB3F10F8,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 04 00 01 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	TRACTION_DIRECTION = ON,,,,,
00009,"=""13:50:27.465""",0xB3F10FC,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 00 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	TRACTION_SPEED_HIGH,,,,,
00010,"=""13:50:27.465""",0xB3F1100,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 04 00 01 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	TRACTION_DIRECTION = ON,,,,,
00011,"=""13:50:27.465""",0xB3F1107,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 00 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	TRACTION_SPEED_HIGH,,,,,
00012,"=""13:50:27.496""",0xB3F1211,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00013,"=""13:50:27.496""",0xB3F1274,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00014,"=""13:50:27.496""",0xB3F12CC,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 CF 00 ,Kinetek:          HEART_BEAT page: 04,,,,,
00015,"=""13:50:27.496""",0xB3F12D6,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00016,"=""13:50:27.526""",0xB3F1405,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00017,"=""13:50:27.555""",0xB3F1473,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00018,"=""13:50:27.555""",0xB3F14BF,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 ,Kinetek:          HEART_BEAT page: 05,,,,,
00019,"=""13:50:27.555""",0xB3F14CA,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00020,"=""13:50:27.585""",0xB3F15F8,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00021,"=""13:50:27.585""",0xB3F166F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00022,"=""13:50:27.585""",0xB3F1682,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F9 01 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	VACUUM_ENABLE = OFF,,,,,
