Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00000,="12:36:46.292",0x6F051C,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00001,="12:36:46.322",0x6F05DD,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
00002,="12:36:46.322",0x6F061C,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 19 78 00 00 
00003,="12:36:46.322",0x6F0626,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
00004,="12:36:46.351",0x6F06FA,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F2 07 00 00 
00005,="12:36:46.351",0x6F06FE,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F2 07 00 00 
00006,="12:36:46.351",0x6F070F,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00007,="12:36:46.381",0x6F07DB,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
00008,="12:36:46.381",0x6F080F,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 
00009,="12:36:46.381",0x6F081A,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
00010,="12:36:46.381",0x6F0903,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00011,="12:36:46.412",0x6F09BF,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 04 00 01 
00012,="12:36:46.412",0x6F09C3,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 00 00 00 
00013,="12:36:46.412",0x6F09C7,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 04 00 01 
00014,="12:36:46.412",0x6F09CE,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 00 00 00 
00015,="12:36:46.412",0x6F09D7,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
00016,="12:36:46.412",0x6F0A02,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 78 00 
